Max_spout,Spliters,Counters,Throughput+
1.0,1,1,5434.7
1.0,1,2,5552.9
1.0,1,3,5529.9
1.0,1,4,5646.8
1.0,1,5,5534.5
1.0,1,6,5420.2
1.0,1,7,5377.6
1.0,1,8,5377.4
1.0,1,9,5220.9
1.0,1,10,5481.0
1.0,1,11,5300.4
1.0,1,12,5258.8
1.0,1,13,5201.2
1.0,1,14,5042.6
1.0,1,15,5257.5
1.0,1,16,5283.2
1.0,1,17,5190.9
1.0,1,18,5137.8
1.0,2,1,5698.4
1.0,2,2,5801.6
1.0,2,3,5791.9
1.0,2,4,5775.6
1.0,2,5,5846.6
1.0,2,6,5546.3
1.0,2,7,5594.7
1.0,2,8,5534.4
1.0,2,9,5406.0
1.0,2,10,5370.8
1.0,2,11,5378.1
1.0,2,12,5577.5
1.0,2,13,5602.6
1.0,2,14,5464.8
1.0,2,15,5381.5
1.0,2,16,5424.0
1.0,2,17,5381.0
1.0,2,18,5351.2
1.0,3,1,6927.3
1.0,3,2,7468.3
1.0,3,3,7094.5
1.0,3,4,7463.5
1.0,3,5,7130.9
1.0,3,6,7136.5
1.0,3,7,7266.3
1.0,3,8,6900.3
1.0,3,9,6753.5
1.0,3,10,6839.8
1.0,3,11,6678.2
1.0,3,12,6589.5
1.0,3,13,7017.7
1.0,3,14,6560.3
1.0,3,15,6513.8
1.0,3,16,6634.0
1.0,3,17,6265.2
1.0,3,18,6296.5
1.0,4,1,6764.7
1.0,4,2,7928.6
1.0,4,3,7331.2
1.0,4,4,6916.1
1.0,4,5,6869.1
1.0,4,6,7207.0
1.0,4,7,6763.1
1.0,4,8,6386.8
1.0,4,9,6256.8
1.0,4,10,6328.6
1.0,4,11,6509.0
1.0,4,12,6686.6
1.0,4,13,6370.2
1.0,4,14,6071.9
1.0,4,15,6276.2
1.0,4,16,6251.3
1.0,4,17,6151.7
1.0,4,18,6241.1
1.0,5,1,7990.6
1.0,5,2,7467.6
1.0,5,3,7040.8
1.0,5,4,6534.9
1.0,5,5,7114.6
1.0,5,6,7000.6
1.0,5,7,6855.4
1.0,5,8,7004.2
1.0,5,9,6683.8
1.0,5,10,6437.4
1.0,5,11,6673.1
1.0,5,12,6573.8
1.0,5,13,6373.1
1.0,5,14,6400.4
1.0,5,15,6345.6
1.0,5,16,6304.4
1.0,5,17,6394.5
1.0,5,18,6293.2
1.0,6,1,7226.1
1.0,6,2,7496.3
1.0,6,3,7680.7
1.0,6,4,7690.8
1.0,6,5,7532.7
1.0,6,6,7767.2
1.0,6,7,7767.6
1.0,6,8,7104.5
1.0,6,9,7381.6
1.0,6,10,7591.0
1.0,6,11,7037.9
1.0,6,12,7165.7
1.0,6,13,7197.3
1.0,6,14,6914.1
1.0,6,15,7042.3
1.0,6,16,7150.8
1.0,6,17,6858.3
1.0,6,18,6857.8
10.0,1,1,28203.0
10.0,1,2,30487.0
10.0,1,3,28894.0
10.0,1,4,28996.0
10.0,1,5,28189.0
10.0,1,6,28862.0
10.0,1,7,29503.0
10.0,1,8,28536.0
10.0,1,9,28657.0
10.0,1,10,28244.0
10.0,1,11,27273.0
10.0,1,12,28007.0
10.0,1,13,27695.0
10.0,1,14,27587.0
10.0,1,15,27492.0
10.0,1,16,27584.0
10.0,1,17,27657.0
10.0,1,18,27734.0
10.0,2,1,28180.0
10.0,2,2,32999.0
10.0,2,3,34032.0
10.0,2,4,31513.0
10.0,2,5,32465.0
10.0,2,6,32716.0
10.0,2,7,31642.0
10.0,2,8,31045.0
10.0,2,9,30945.0
10.0,2,10,31649.0
10.0,2,11,30705.0
10.0,2,12,30864.0
