Spouts,Max_spout,Spout_wait,Spliters,Counters,Netty_min_wait,Throughput-
1,1,1,1,1,10,2221.3
1,1,1,1,1,100,2252.4
1,1,1,1,1,1000,2339.1
1,1,1,1,3,10,2150.4
1,1,1,1,3,100,2225.4
1,1,1,1,3,1000,2233.1
1,1,1,1,6,10,2215.5
1,1,1,1,6,100,2124.7
1,1,1,1,6,1000,2260.8
1,1,1,1,12,10,1993.2
1,1,1,1,12,100,2208.4
1,1,1,1,12,1000,2199.6
1,1,1,2,1,10,2377.4
1,1,1,2,1,100,2431.4
1,1,1,2,1,1000,2427.0
1,1,1,2,3,10,2153.5
1,1,1,2,3,100,2146.1
1,1,1,2,3,1000,2195.0
1,1,1,2,6,10,2177.6
1,1,1,2,6,100,2211.6
1,1,1,2,6,1000,2249.9
1,1,1,2,12,10,2201.8
1,1,1,2,12,100,2240.6
1,1,1,2,12,1000,2091.9
1,1,1,3,1,10,3052.8
1,1,1,3,1,100,2787.0
1,1,1,3,1,1000,2780.9
1,1,1,3,3,10,3016.6
1,1,1,3,3,100,3070.8
1,1,1,3,3,1000,3032.4
1,1,1,3,6,10,2863.9
1,1,1,3,6,100,2824.4
1,1,1,3,6,1000,2937.4
1,1,1,3,12,10,2639.6
1,1,1,3,12,100,2913.6
1,1,1,3,12,1000,2811.3
1,1,1,6,1,10,2499.4
1,1,1,6,1,100,2672.8
1,1,1,6,1,1000,2747.8
1,1,1,6,3,10,3022.4
1,1,1,6,3,100,3011.1
1,1,1,6,3,1000,2906.1
1,1,1,6,6,10,2842.4
1,1,1,6,6,100,2933.1
1,1,1,6,6,1000,2897.8
1,1,1,6,12,10,2828.0
1,1,1,6,12,100,2853.2
1,1,1,6,12,1000,2773.1
1,1,2,1,1,10,1949.9
1,1,2,1,1,100,2058.6
1,1,2,1,1,1000,1904.4
1,1,2,1,3,10,2061.6
1,1,2,1,3,100,2039.4
1,1,2,1,3,1000,2059.6
1,1,2,1,6,10,1900.6
1,1,2,1,6,100,2024.4
1,1,2,1,6,1000,1902.9
1,1,2,1,12,10,1871.1
1,1,2,1,12,100,1935.9
1,1,2,1,12,1000,1828.4
1,1,2,2,1,10,2131.6
1,1,2,2,1,100,2105.4
1,1,2,2,1,1000,2043.1
1,1,2,2,3,10,2024.8
1,1,2,2,3,100,2059.7
1,1,2,2,3,1000,1930.5
1,1,2,2,6,10,1923.9
1,1,2,2,6,100,1934.8
1,1,2,2,6,1000,2002.2
1,1,2,2,12,10,1897.6
1,1,2,2,12,100,1878.6
1,1,2,2,12,1000,1853.2
1,1,2,3,1,10,2195.1
1,1,2,3,1,100,2218.6
1,1,2,3,1,1000,2178.8
1,1,2,3,3,10,2328.0
1,1,2,3,3,100,2296.1
1,1,2,3,3,1000,2298.9
1,1,2,3,6,10,2244.8
1,1,2,3,6,100,2271.5
1,1,2,3,6,1000,2249.0
1,1,2,3,12,10,2234.6
1,1,2,3,12,100,2195.8
1,1,2,3,12,1000,2276.9
1,1,2,6,1,10,2215.4
1,1,2,6,1,100,2226.2
1,1,2,6,1,1000,2186.9
1,1,2,6,3,10,2329.1
1,1,2,6,3,100,2309.2
1,1,2,6,3,1000,2331.9
1,1,2,6,6,10,2205.5
1,1,2,6,6,100,2306.2
1,1,2,6,6,1000,2230.9
1,1,2,6,12,10,2311.2
1,1,2,6,12,100,2224.8
1,1,2,6,12,1000,2323.4
1,1,3,1,1,10,1585.9
1,1,3,1,1,100,1558.7
1,1,3,1,1,1000,1684.1
1,1,3,1,3,10,1620.4
1,1,3,1,3,100,1632.9
1,1,3,1,3,1000,1624.9
1,1,3,1,6,10,1669.5
1,1,3,1,6,100,1611.8
1,1,3,1,6,1000,1574.6
1,1,3,1,12,10,1568.2
1,1,3,1,12,100,1617.0
1,1,3,1,12,1000,1623.1
1,1,3,2,1,10,1834.4
1,1,3,2,1,100,1712.3
1,1,3,2,1,1000,1778.3
1,1,3,2,3,10,1681.6
1,1,3,2,3,100,1757.4
1,1,3,2,3,1000,1713.9
1,1,3,2,6,10,1561.1
1,1,3,2,6,100,1655.8
1,1,3,2,6,1000,1599.6
1,1,3,2,12,10,1646.8
1,1,3,2,12,100,1680.9
1,1,3,2,12,1000,1623.2
1,1,3,3,1,10,2105.5
1,1,3,3,1,100,2119.5
1,1,3,3,1,1000,2105.8
1,1,3,3,3,10,2010.2
1,1,3,3,3,100,2141.3
1,1,3,3,3,1000,2196.2
1,1,3,3,6,10,2111.5
1,1,3,3,6,100,2114.3
1,1,3,3,6,1000,2073.1
1,1,3,3,12,10,1907.6
1,1,3,3,12,100,1875.6
1,1,3,3,12,1000,1979.1
1,1,3,6,1,10,2153.1
1,1,3,6,1,100,2147.8
1,1,3,6,1,1000,2226.6
1,1,3,6,3,10,2104.8
1,1,3,6,3,100,2090.1
1,1,3,6,3,1000,2140.8
1,1,3,6,6,10,1954.1
1,1,3,6,6,100,2011.5
1,1,3,6,6,1000,1960.8
1,1,3,6,12,10,1943.5
1,1,3,6,12,100,1987.8
1,1,3,6,12,1000,1943.6
1,1,10,1,1,10,955.06
1,1,10,1,1,100,936.94
1,1,10,1,1,1000,897.12
1,1,10,1,3,10,897.41
1,1,10,1,3,100,877.88
1,1,10,1,3,1000,902.38
1,1,10,1,6,10,919.41
1,1,10,1,6,100,857.06
1,1,10,1,6,1000,925.75
1,1,10,1,12,10,900.76
1,1,10,1,12,100,882.0
1,1,10,1,12,1000,920.88
1,1,10,2,1,10,917.25
1,1,10,2,1,100,884.56
1,1,10,2,1,1000,902.12
1,1,10,2,3,10,869.24
1,1,10,2,3,100,902.41
1,1,10,2,3,1000,893.71
1,1,10,2,6,10,890.12
1,1,10,2,6,100,928.44
1,1,10,2,6,1000,876.75
1,1,10,2,12,10,949.81
1,1,10,2,12,100,841.71
1,1,10,2,12,1000,898.76
1,1,10,3,1,10,893.82
1,1,10,3,1,100,896.94
1,1,10,3,1,1000,918.76
1,1,10,3,3,10,917.53
1,1,10,3,3,100,889.71
1,1,10,3,3,1000,912.0
1,1,10,3,6,10,925.59
1,1,10,3,6,100,915.35
1,1,10,3,6,1000,901.75
1,1,10,3,12,10,831.06
1,1,10,3,12,100,867.0
1,1,10,3,12,1000,944.31
1,1,10,6,1,10,865.76
1,1,10,6,1,100,877.35
1,1,10,6,1,1000,890.24
1,1,10,6,3,10,919.62
1,1,10,6,3,100,897.69
1,1,10,6,3,1000,919.69
1,1,10,6,6,10,890.75
1,1,10,6,6,100,949.82
1,1,10,6,6,1000,918.94
1,1,10,6,12,10,937.06
1,1,10,6,12,100,933.69
1,1,10,6,12,1000,949.75
1,1,100,1,1,10,89.412
1,1,100,1,1,100,89.941
1,1,100,1,1,1000,103.12
1,1,100,1,3,10,92.688
1,1,100,1,3,100,90.588
1,1,100,1,3,1000,88.062
1,1,100,1,6,10,96.5
1,1,100,1,6,100,90.562
1,1,100,1,6,1000,94.588
1,1,100,1,12,10,100.12
1,1,100,1,12,100,89.941
1,1,100,1,12,1000,90.25
1,1,100,2,1,10,97.882
1,1,100,2,1,100,88.471
1,1,100,2,1,1000,95.125
1,1,100,2,3,10,94.75
1,1,100,2,3,100,96.176
1,1,100,2,3,1000,81.882
1,1,100,2,6,10,89.059
1,1,100,2,6,100,107.41
1,1,100,2,6,1000,84.529
1,1,100,2,12,10,85.706
1,1,100,2,12,100,98.471
1,1,100,2,12,1000,92.118
1,1,100,3,1,10,89.529
1,1,100,3,1,100,99.625
1,1,100,3,1,1000,101.29
1,1,100,3,3,10,81.812
1,1,100,3,3,100,83.588
1,1,100,3,3,1000,102.44
1,1,100,3,6,10,97.059
1,1,100,3,6,100,94.235
1,1,100,3,6,1000,94.294
1,1,100,3,12,10,94.235
1,1,100,3,12,100,72.75
1,1,100,3,12,1000,104.25
1,1,100,6,1,10,82.412
1,1,100,6,1,100,102.88
1,1,100,6,1,1000,87.235
1,1,100,6,3,10,100.06
1,1,100,6,3,100,87.625
1,1,100,6,3,1000,96.176
1,1,100,6,6,10,88.353
1,1,100,6,6,100,106.69
1,1,100,6,6,1000,78.75
1,1,100,6,12,10,90.938
1,1,100,6,12,100,98.529
1,1,100,6,12,1000,91.647
1,2,1,1,1,10,4024.2
1,2,1,1,1,100,3847.5
1,2,1,1,1,1000,4067.4
1,2,1,1,3,10,4268.0
1,2,1,1,3,100,4303.6
1,2,1,1,3,1000,4257.5
1,2,1,1,6,10,4075.8
1,2,1,1,6,100,4100.6
1,2,1,1,6,1000,4122.1
1,2,1,1,12,10,3955.6
1,2,1,1,12,100,3924.0
1,2,1,1,12,1000,4267.6
1,2,1,2,1,10,4792.8
1,2,1,2,1,100,4802.5
1,2,1,2,1,1000,4775.6
1,2,1,2,3,10,4146.8
1,2,1,2,3,100,4258.5
1,2,1,2,3,1000,3984.9
1,2,1,2,6,10,4166.2
1,2,1,2,6,100,4113.8
1,2,1,2,6,1000,4088.6
1,2,1,2,12,10,4229.9
1,2,1,2,12,100,4133.6
1,2,1,2,12,1000,4098.5
1,2,1,3,1,10,4645.9
1,2,1,3,1,100,4655.7
